1000 3988
94 998 19
94 198 52
94 425 92
94 809 72
94 681 54
94 798 41
94 48 12
94 975 33
94 662 94
94 152 66
94 506 5
94 574 27
95 834 93
95 603 69
95 808 4
95 809 41
95 815 46
95 818 4
95 282 92
95 699 64
96 2 24
96 138 42
96 237 52
96 942 99
96 787 58
96 252 87
96 760 31
96 348 66
97 2 67
97 195 33
97 551 38
97 744 72
97 84 28
97 500 63
97 216 65
97 635 77
97 892 48
97 381 58
98 835 69
98 70 48
98 42 83
98 12 42
98 780 90
98 689 90
98 630 25
98 183 93
98 251 82
98 221 34
99 224 14
99 72 72
99 264 72
99 360 91
99 584 75
99 777 71
99 621 2
99 687 92
99 80 33
99 19 29
99 150 98
99 599 34
99 856 25
99 477 75
99 382 64
100 416 80
100 579 96
100 259 56
100 647 31
100 624 75
100 561 2
100 915 47
100 25 40
101 832 68
101 674 25
101 770 34
101 584 2
101 330 25
101 554 35
101 13 28
101 590 52
101 205 50
101 976 34
101 946 47
101 948 23
101 533 73
101 889 10
101 157 98
101 318 60
101 127 84
102 736 56
102 387 37
102 804 72
102 451 55
102 300 59
102 561 33
102 18 51
102 888 45
102 574 72
103 896 47
103 833 13
103 426 99
103 916 20
103 62 14
103 126 3
104 717 1
104 691 93
104 790 63
104 410 64
104 607 75
105 837 64
105 332 34
105 941 85
105 626 45
105 312 6
105 287 84
106 256 2
106 422 7
106 777 16
106 812 38
106 761 100
106 409 54
106 221 45
106 319 36
107 133 69
107 453 75
107 647 80
107 655 44
107 472 44
108 129 85
108 645 12
108 456 36
108 476 65
108 733 62
108 847 23
108 467 21
108 248 46
108 891 42
108 28 88
108 381 92
109 480 64
109 1 63
109 674 22
109 865 80
109 869 62
109 744 59
109 425 35
109 790 89
109 927 45
109 697 53
109 123 21
109 444 84
109 415 2
110 737 41
110 682 82
110 74 58
110 209 60
110 599 67
111 546 94
111 361 99
111 461 38
111 783 41
111 207 41
111 689 12
111 340 23
111 830 7
112 928 79
112 324 59
112 489 26
112 765 89
112 657 8
112 403 56
112 861 94
112 222 19
112 31 21
113 32 58
113 995 5
113 678 23
113 203 29
113 719 6
113 274 63
113 853 15
113 630 64
113 155 24
114 293 42
114 298 49
114 650 100
114 396 100
114 906 64
114 78 94
114 624 69
114 880 38
114 339 6
114 504 68
114 125 3
114 415 35
115 588 51
115 432 28
115 722 10
115 914 6
115 405 40
115 374 29
115 31 53
116 291 1
116 849 61
116 978 12
116 916 64
116 341 6
116 21 17
116 925 49
117 161 71
117 591 64
117 51 12
117 917 35
117 760 94
117 93 35
118 268 60
118 941 82
118 847 76
118 629 90
118 438 99
118 504 89
118 479 26
119 160 65
119 673 61
119 162 39
119 960 25
119 676 49
119 966 76
119 297 84
119 42 5
119 589 14
119 143 60
119 146 25
120 326 83
120 48 49
120 688 95
120 179 37
120 729 72
120 887 80
120 185 55
120 410 83
120 318 39
121 407 89
121 685 14
121 498 82
121 244 90
121 535 59
122 768 65
122 738 57
122 483 37
122 229 79
122 711 82
122 568 94
122 429 5
122 526 43
122 946 1
122 278 11
122 408 51
123 684 33
123 109 21
123 975 62
123 209 17
123 220 92
124 294 5
124 685 86
124 846 50
124 792 57
124 542 64
125 868 54
125 114 3
125 889 61
125 793 60
125 477 85
125 158 55
126 961 88
126 227 34
126 451 71
126 167 55
126 103 3
126 939 2
126 461 90
126 557 4
126 301 41
126 376 35
126 729 35
127 353 61
127 101 84
127 614 22
127 173 63
127 368 60
128 25 11
128 14 89
128 999 54
129 230 21
129 40 31
129 777 20
129 970 28
129 108 85
129 45 45
129 558 99
129 976 3
129 529 22
129 818 50
129 179 73
129 600 23
130 705 66
130 194 93
130 165 22
130 433 4
130 18 16
130 789 6
130 22 78
130 89 15
130 29 8
131 866 55
131 965 47
131 809 1
131 652 82
131 408 84
131 765 30
132 928 76
132 577 11
132 33 91
132 77 68
132 462 68
132 18 22
132 787 96
133 36 96
133 134 60
133 892 33
133 393 76
133 107 69
133 717 46
133 601 50
133 84 32
133 533 29
133 863 19
133 952 64
133 569 48
133 858 60
133 828 26
133 254 56
133 383 30
134 516 2
134 133 60
134 945 7
134 885 36
134 698 68
134 93 45
135 32 95
135 449 21
135 165 91
135 38 34
135 984 40
135 29 70
135 607 62
136 897 49
136 195 80
136 717 34
136 431 93
136 659 5
136 244 56
136 217 11
137 804 62
137 6 96
137 558 26
137 756 1
137 919 76
138 96 42
138 417 46
138 610 100
138 360 54
138 809 100
138 558 35
138 750 60
138 816 81
138 784 57
138 978 81
138 659 29
138 89 62
138 285 69
139 3 11
139 615 57
139 361 95
139 42 77
139 588 68
139 748 56
139 844 95
139 143 57
139 245 6
139 727 14
139 954 32
139 91 71
140 992 57
140 386 44
140 780 55
140 978 35
140 309 89
140 53 35
140 567 86
140 633 100
141 867 21
141 455 67
141 329 29
141 42 58
141 702 11
141 429 5
141 435 95
141 666 7
141 636 42
141 606 18
142 579 1
142 294 62
142 329 38
142 751 42
142 82 66
142 852 2
142 87 35
142 185 75
142 506 68
142 251 86
143 194 68
143 359 10
143 521 76
143 586 55
143 139 57
143 940 9
143 816 66
143 273 63
143 628 86
143 119 60
143 283 22
143 667 88
143 413 32
144 962 52
144 3 35
144 164 55
144 259 74
144 679 50
144 876 94
144 13 100
144 496 15
144 721 71
144 848 94
144 307 62
144 564 65
144 213 47
144 637 24
145 931 5
145 904 17
145 397 71
145 976 13
145 499 56
145 820 57
145 692 86
145 278 69
145 506 88
145 699 46
146 857 62
146 969 71
146 119 25
147 849 32
147 881 68
147 790 68
147 316 30
147 30 49
148 931 30
148 613 38
148 522 33
148 759 77
148 81 36
148 824 19
148 534 15
148 727 93
148 568 10
148 822 6
148 538 53
148 925 100
149 806 41
149 558 14
149 623 32
149 559 87
149 629 89
149 56 84
150 547 24
150 99 98
150 806 35
150 784 13
150 951 33
150 723 96
150 375 44
151 198 60
151 72 39
151 623 68
151 560 89
151 703 9
152 32 23
152 481 27
152 640 83
152 775 56
152 681 6
152 202 35
152 236 36
152 717 39
152 21 31
152 181 25
152 732 66
152 94 66
153 416 65
153 803 79
153 807 38
153 236 99
153 975 63
153 382 95
154 0 33
154 837 87
154 232 72
154 14 35
154 532 11
154 90 31
155 292 70
155 679 13
155 395 56
155 524 99
155 976 25
155 113 24
155 401 42
155 568 26
155 828 68
156 161 53
156 450 68
156 2 62
156 451 67
156 773 5
156 489 76
156 971 99
156 173 34
156 622 98
156 750 46
156 400 18
156 305 21
156 432 3
156 184 30
157 35 64
157 931 40
157 101 98
157 487 98
157 464 88
157 18 65
157 51 17
157 50 46
157 309 96
157 503 41
157 58 43
158 164 26
158 715 33
158 893 30
158 238 26
158 335 7
158 401 35
158 537 31
158 219 4
158 125 55
158 254 1
159 802 65
159 303 1
159 628 38
159 84 78
159 536 11
160 513 30
160 452 96
160 903 93
160 970 62
160 651 77
160 846 7
160 334 39
160 272 28
160 689 22
160 467 70
160 119 65
161 0 63
161 482 3
161 194 66
161 259 40
161 871 17
161 719 20
161 117 71
161 444 41
161 251 77
161 156 53
162 549 55
162 268 40
162 273 21
162 119 39
162 253 49
163 391 14
163 780 9
163 429 26
163 239 38
163 254 88
163 921 41
163 91 35
163 830 87
164 258 97
164 4 78
164 745 83
164 144 55
164 274 71
164 595 83
164 853 89
164 22 24
164 987 66
164 158 26
165 130 22
165 135 91
165 11 11
165 235 11
165 718 29
165 687 12
165 304 23
165 595 96
165 953 74
165 859 26
166 419 42
166 868 23
166 867 59
166 678 26
166 932 54
166 203 34
166 783 7
166 665 19
166 470 6
166 569 58
166 763 74
166 413 48
167 384 76
167 672 53
167 801 66
167 202 53
167 815 75
167 176 48
167 788 48
167 24 38
167 891 57
167 126 55
168 416 9
168 587 40
168 461 15
168 275 30
168 403 83
168 468 30
169 36 27
169 923 20
169 774 18
169 906 18
169 748 75
169 917 47
169 86 81
169 565 1
169 476 84
169 732 60
170 522 39
170 174 11
170 942 96
170 945 34
170 529 36
170 859 81
170 479 98
171 536 11
171 338 86
171 259 72
171 829 64
172 261 43
172 806 5
172 972 21
172 334 87
172 271 87
172 880 36
173 385 54
173 769 20
173 645 66
173 552 45
173 447 24
173 937 70
173 939 57
173 844 53
173 754 43
173 51 49
173 787 56
173 409 45
173 26 89
173 156 34
173 957 97
173 350 3
173 127 63
174 288 3
174 998 91
174 807 80
174 170 11
174 589 26
174 883 96
174 790 33
174 218 1
174 187 95
174 988 77
174 926 47
174 511 90
175 420 85
175 955 100
175 487 25
175 841 62
175 714 21
175 905 38
175 44 79
175 87 26
175 538 85
175 699 86
176 167 48
176 618 94
176 14 32
176 240 21
176 626 90
176 276 19
176 788 12
176 950 28
176 599 17
176 696 55
176 639 18
177 994 82
177 293 29
177 555 91
177 527 91
177 945 35
177 382 19
177 703 6
178 65 22
178 359 71
178 360 96
178 524 15
178 846 52
178 48 48
178 816 84
178 242 51
178 403 75
178 60 17
178 221 52
179 129 73
179 47 27
179 946 84
179 948 48
179 120 37
180 485 20
180 359 37
180 684 79
180 593 34
180 958 70
180 86 34
180 637 55
180 862 51
180 767 21
181 931 28
181 504 55
181 341 30
181 152 25
181 989 46
182 932 6
182 838 6
182 712 35
182 530 55
182 275 91
182 762 22
182 637 48
183 98 93
183 4 35
183 458 72
183 750 87
183 624 94
183 219 12
184 293 74
184 230 26
184 713 50
184 554 44
184 373 58
184 666 63
184 282 15
184 347 88
184 156 30
185 551 99
185 553 13
185 142 75
185 689 46
185 120 55
185 285 96
186 867 43
186 910 14
186 855 57
186 878 16
186 786 10
186 885 2
186 189 92
186 729 60
186 637 87
187 993 50
187 618 91
187 276 44
187 174 95
188 257 50
188 356 42
188 685 5
188 436 20
188 727 87
188 731 96
188 287 22
189 323 49
189 296 48
189 329 53
189 809 80
189 559 47
189 186 92
189 957 75
189 735 71
190 320 100
190 483 62
190 580 30
190 809 12
190 432 93
190 822 85
190 566 17
191 581 2
191 904 65
191 268 73
191 302 72
191 622 48
191 786 26
191 83 1
191 51 73
191 921 86
192 485 94
192 261 41
192 519 55
192 331 27
192 663 60
192 926 4
193 805 70
193 908 35
193 975 31
193 405 40
193 247 56
193 858 49
194 65 51
194 130 93
194 161 66
194 455 61
194 143 68
194 246 80
195 97 33
195 483 100
195 136 80
195 777 83
195 395 48
195 269 57
195 430 40
195 974 44
195 656 21
195 724 90
195 603 61
196 320 11
196 265 90
196 683 77
196 466 40
196 766 30
197 418 58
197 486 5
197 575 32
197 911 45
197 943 11
197 287 32
198 612 5
198 11 30
198 747 44
198 531 49
198 151 60
198 440 2
198 94 52
199 255 64
199 677 28
199 685 36
199 883 34
199 373 93
199 287 34
200 993 61
200 516 50
200 520 2
200 746 60
200 491 35
200 401 100
200 661 38
200 59 69
201 296 83
201 81 83
201 869 86
201 965 12
202 771 98
202 740 40
202 167 53
202 233 60
202 297 15
202 563 82
202 887 20
202 152 35
202 670 54
203 961 74
203 166 34
203 903 95
203 234 58
203 715 32
203 300 86
203 113 29
203 861 27
204 837 11
204 69 6
204 231 63
204 773 98
204 999 94
204 276 94
204 244 33
204 854 51
205 101 50
205 522 2
205 906 17
205 51 41
205 215 68
205 409 50
205 58 52
205 636 70
206 2 4
206 965 37
206 646 99
206 423 12
206 368 40
206 24 33
206 667 39
207 770 46
207 994 32
207 517 1
207 9 71
207 618 73
207 111 41
207 980 29
207 318 89
208 369 37
208 641 50
208 540 75
209 737 13
209 34 79
209 522 73
209 44 60
209 110 60
209 123 17
210 579 18
210 582 72
210 786 35
210 564 34
210 503 10
210 473 59
210 606 72
211 678 8
211 809 48
211 399 55
211 594 44
211 470 8
211 733 1
212 385 95
212 516 63
212 837 71
212 37 77
212 334 39
212 886 48
213 803 2
213 589 41
213 366 31
213 144 47
213 276 45
213 570 67
213 252 50
214 3 12
214 899 35
214 428 13
214 591 23
214 983 24
214 245 42
214 278 99
214 759 32
214 344 95
214 661 15
215 992 6
215 482 89
215 678 62
215 205 68
215 217 88
215 62 100
216 728 79
216 97 65
216 485 44
216 297 57
217 640 97
217 701 16
217 136 11
217 492 47
217 271 15
217 215 88
217 378 89
217 989 87
217 894 2
218 450 97
218 998 5
218 839 49
218 296 6
218 174 1
218 687 9
218 667 73
219 237 34
219 919 97
219 222 33
219 502 43
219 183 12
219 504 67
219 349 73
219 477 54
219 158 4
220 707 91
220 647 12
220 648 8
220 872 21
220 745 66
220 974 41
220 703 54
220 895 22
220 665 4
220 123 92
220 831 7
221 321 46
221 98 34
221 994 72
221 106 45
221 303 90
221 335 9
221 271 82
221 178 52
221 403 46
221 308 100
221 469 92
221 921 7
221 506 24
222 219 33
222 112 19
222 561 8
222 752 80
222 927 22
222 347 39
222 799 25
223 651 26
223 13 79
223 304 42
223 945 9
223 245 34
223 638 94
224 99 14
224 292 31
224 38 16
224 746 4
224 498 22
224 250 85
224 541 81
225 481 74
225 707 63
225 714 14
225 619 60
225 367 54
225 79 26
225 15 34
225 729 91
225 732 68
226 996 67
226 967 60
226 620 32
226 815 56
226 311 21
226 634 89
226 509 87
226 447 32
227 706 3
227 931 91
227 388 32
227 869 37
227 398 79
227 495 64
227 464 58
227 563 2
227 958 4
227 126 34
227 926 50
228 634 39
228 828 57
228 893 84
229 641 25
229 578 60
229 259 59
229 937 8
229 276 28
229 629 38
229 665 37
229 122 79
229 923 6
229 62 71
230 960 49
230 129 21
230 385 56
230 902 38
230 680 16
230 467 7
230 184 26
230 379 49
230 636 24
230 990 87
230 767 56
231 385 14
231 328 86
231 524 12
231 204 63
231 501 17
231 821 51
231 507 85
232 705 16
232 294 69
232 455 43
232 873 92
232 333 1
232 366 34
232 154 72
232 858 26
233 481 94
233 833 66
233 356 16
233 73 35
233 202 60
233 829 26
233 49 52
233 926 49
233 979 87
233 276 97
233 733 27
233 446 6
234 896 96
234 354 36
234 804 50
234 203 58
234 247 12
235 864 22
235 417 96
235 613 7
235 165 11
235 585 57
235 335 1
235 944 23
235 914 64
235 727 74
236 704 14
236 70 67
236 969 10
236 653 59
236 82 94
236 665 47
236 661 72
236 152 36
236 153 99
237 96 52
237 564 77
237 567 14
237 219 34
237 478 91
238 450 46
238 998 62
238 552 48
238 618 27
238 970 100
238 881 79
238 407 2
238 409 5
238 158 26
239 834 100
239 163 38
239 390 5
239 274 88
239 860 68
240 961 83
240 262 65
240 524 12
240 333 86
240 77 55
240 15 52
240 176 21
240 499 54
240 851 53
240 920 14
241 67 30
241 675 4
241 454 13
242 8 52
242 16 15
242 178 51
242 563 26
242 570 87
242 893 16
243 420 37
243 454 11
243 904 10
243 553 95
243 436 82
243 24 88
243 318 50
244 450 54
244 803 33
244 326 61
244 136 56
244 584 12
244 204 33
244 302 97
244 848 1
244 912 5
244 659 92
244 84 38
244 121 90
245 994 100
245 139 6
245 909 46
245 214 42
245 791 68
245 285 81
245 223 34
246 576 28
246 194 80
246 521 59
246 523 8
246 783 76
246 339 28
246 19 2
246 56 64
246 509 95
247 193 56
247 66 35
247 324 96
247 360 32
247 234 12
247 406 11
247 87 98
247 543 61
248 642 14
248 839 50
248 552 62
248 456 73
248 649 72
248 108 46
248 560 24
248 851 48
248 724 39
248 728 13
249 515 18
249 451 30
249 710 100
249 745 55
249 538 51
250 224 85
250 256 30
250 994 40
250 355 59
250 837 86
250 744 97
250 407 82
251 161 77
251 98 82
251 998 39
251 266 73
251 970 55
251 142 86
251 47 94
251 598 73
252 96 87
252 290 40
252 738 29
252 298 15
252 908 96
252 589 68
252 754 73
252 213 50
252 91 64
253 162 49
253 356 64
253 648 81
253 336 97
253 403 98
253 952 26
253 697 97
253 958 46
253 703 52
254 163 88
254 133 56
254 873 81
254 82 77
254 956 69
254 158 1
255 199 64
255 939 74
255 93 23
255 726 91
255 317 24
256 640 34
256 417 4
256 769 6
256 293 27
256 106 2
256 601 47
256 469 91
256 695 53
256 281 11
256 250 30
257 904 66
257 778 67
257 74 35
257 653 81
257 79 12
257 188 50
257 370 93
257 819 77
257 476 57
258 480 94
258 608 36
258 164 97
258 488 79
258 617 44
258 683 100
258 334 71
258 974 79
259 161 40
259 546 1
259 100 56
259 229 59
259 171 72
259 843 26
259 144 74
259 786 12
259 859 70
259 831 90
260 545 75
260 898 65
260 421 28
260 743 96
260 649 13
260 877 37
260 493 98
261 192 41
261 967 37
261 426 10
261 811 24
261 172 43
261 943 92
261 368 86
261 305 68
261 627 55
261 820 89
262 240 65
262 604 62
262 686 96
262 958 68
263 592 45
263 44 11
263 294 28
264 99 72
264 963 11
264 846 66
264 847 16
264 633 78
264 285 71
264 317 74
264 889 96
265 196 90
265 583 74
265 360 37
265 725 31
265 439 6
266 640 10
266 485 76
266 251 73
266 403 2
266 436 55
266 25 44
266 539 1
266 445 24
267 321 46
267 930 19
267 35 23
267 744 94
267 941 98
267 526 6
267 750 32
267 862 2
267 434 1
267 402 22
267 531 55
267 689 39
267 318 11
268 1 64
268 162 40
268 391 78
268 779 99
268 735 52
268 690 100
268 20 51
268 767 94
268 118 60
268 90 20
268 191 73
269 321 75
269 195 57
269 525 52
269 728 59
269 443 27
270 962 21
270 614 77
270 745 70
270 367 11
270 626 28
270 437 12
270 950 51
270 317 27
270 479 71
271 172 87
271 590 50
271 61 61
271 791 28
271 217 15
271 443 76
271 221 82
272 160 28
272 545 32
272 35 14
272 394 93
272 785 99
272 692 92
272 629 40
272 475 70
272 284 53
273 162 21
273 835 11
273 549 58
273 617 40
273 143 63
273 88 42
274 834 95
274 164 71
274 239 88
274 113 63
274 501 83
274 886 13
275 547 18
275 168 30
275 524 4
275 717 25
275 593 68
275 182 91
275 767 74
276 229 28
276 233 97
276 489 79
276 714 90
276 204 94
276 44 6
276 974 19
276 176 19
276 213 45
276 792 51
276 187 44
277 34 98
277 553 59
277 810 48
277 746 48
277 937 48
277 407 70
277 664 71
278 302 7
278 303 76
278 145 69
278 214 99
278 122 11
279 66 37
279 967 63
279 906 62
279 365 79
279 28 23
279 605 50
280 546 6
280 997 16
280 517 10
280 687 29
280 947 100
280 628 5
280 887 66
280 313 34
280 794 54
280 733 75
280 734 62
281 256 11
281 836 94
281 619 50
281 430 33
281 334 36
281 816 31
281 886 88
281 983 30
281 633 90
281 988 65
282 992 36
282 898 96
282 75 88
282 845 18
282 495 49
282 914 78
282 788 6
282 437 18
282 184 15
282 669 87
282 414 18
282 95 92
283 352 1
283 420 54
283 773 65
283 456 89
283 46 50
283 143 22
283 302 1
283 50 92
283 597 52
284 738 86
284 521 83
284 969 49
284 76 73
284 652 47
284 272 53
284 851 49
285 676 27
285 313 22
285 264 71
285 807 31
285 138 69
285 75 10
285 968 57
285 872 78
285 245 81
285 919 18
285 185 96
286 637 55
286 714 78
286 395 42
286 460 85
286 77 46
286 846 3
286 559 25
286 944 25
286 24 70
286 605 92
286 798 30
287 197 32
287 838 79
287 199 34
287 966 50
287 105 84
287 806 92
287 936 56
287 470 53
287 188 22
288 864 78
288 775 46
288 808 43
288 521 14
288 363 67
288 174 3
288 472 33
288 666 30
288 350 48
289 66 77
289 453 2
289 939 31
289 342 81
289 791 50
289 410 43
290 294 35
290 966 99
290 458 20
290 632 7
290 826 40
290 252 40
290 445 95
290 510 59
291 801 45
